,ipa,nosyl
6497,ʈ͡ʂʰøˊ.ɟ̊uk̚,2
6498,ʈ͡ʂʰøˊ.ɖ͡ʐ̊e,2
6499,ʈ͡ʂʰøˊ.d͡z̥ə,2
6500,ʈ͡ʂʰøˊ.d͡z̥ø,2
6501,ʈ͡ʂʰøˊ.d͡z̥õŋ,2
6502,ʈ͡ʂʰøˊ.lək̚,2
6503,ʈ͡ʂʰøˊ.luk̚,2
6504,ʈ͡ʂʰøˊ.ɕɛ,2
6505,ʈ͡ʂʰøˊ.sɛm,2
6506,ʈ͡ʂʰøˊ.g̊ɛ,2
6507,ʈ͡ʂʰøˊ.g̊u,2
6508,ʈ͡ʂʰøˊ.ɟ̊õŋ,2
6509,ʈ͡ʂʰøˊ.ɟ̊ɔp̚,2
6510,ʈ͡ʂʰøˊ.g̊o,2
6511,ʈ͡ʂʰøˊ.d̥ɛk̚,2
6512,ʈ͡ʂʰøˊ.d̥e,2
6513,ʈ͡ʂʰøˊ.b̥ỹn̚,2
6514,ʈ͡ʂʰøˊ.b̥ɛ.b̥ə,3
6515,ʈ͡ʂʰøˊ.b̥up̚,2
6516,ʈ͡ʂʰøˊ.ɖ͡ʐ̊ĩn̚,2
6517,ʈ͡ʂʰøˊ.mɛ̃n̚,2
6518,ʈ͡ʂʰøˊ.si,2
6519,ʈ͡ʂʰøˊ.sũŋ,2
6520,ʈ͡ʂʰaˋ.g̊o,2
6521,ʈ͡ʂʰaˋ.g̊ə,2
6522,ʈ͡ʂʰaˋ.g̊ãŋ,2
6523,ʈ͡ʂʰaˋ.g̊əp̚,2
6524,ʈ͡ʂʰaˋ.g̊u,2
6525,ʈ͡ʂʰaˋ.g̊uk̚,2
6526,ʈ͡ʂʰaˋ.ɖ̥ə,2
6527,ʈ͡ʂʰaˋ.sur,2
6528,ʈ͡ʂʰaˋ.d̥ɔr,2
6529,ʈ͡ʂʰaˋ.d̥ãŋ,2
6530,ʈ͡ʂʰaˋ.d̥uk̚,2
6531,ʈ͡ʂʰaˋ.d̥ɛp̚,2
6532,ʈ͡ʂʰaˋ.g̊ər,2
6533,ʈ͡ʂʰaˋ.ɖ̥uk̚,2
6534,ʈ͡ʂʰaˋ.b̥ø̃n̚,2
6535,ʈ͡ʂʰaˋ.d̥əm,2
6536,ʈ͡ʂʰaˋ.d̥o,2
6537,ʈ͡ʂʰaˋ.ŋɛ,2
6538,ʈ͡ʂʰaˋ.nək̚,2
6539,ʈ͡ʂʰaˋ.nɛ,2
6540,ʈ͡ʂʰaˋ.b̥y,2
6541,ʈ͡ʂʰaˋ.b̥ɔk̚,2
6542,ʈ͡ʂʰaˋ.b̥ək̚,2
6543,ʈ͡ʂʰaˋ.d̥ək̚,2
6544,ʈ͡ʂʰaˋ.ŋø,2
6545,ʈ͡ʂʰaˋ.mə,2
6546,ʈ͡ʂʰaˋ.ɖ͡ʐ̊ø,2
6547,ʈ͡ʂʰaˋ.d̥ɔk̚,2
6548,ʈ͡ʂʰaˋ.d̥õŋ,2
6549,ʈ͡ʂʰaˋ.mɛ̃n̚,2
6550,ʈ͡ʂʰaˋ.mər,2
6551,ʈ͡ʂʰaˋ.d͡z̥ək̚,2
6552,ʈ͡ʂʰaˋ.ɕĩŋ,2
6553,ʈ͡ʂʰaˋ.d̥ɛ̃n̚,2
6554,ʈ͡ʂʰaˋ.ɖ̥ɛ̃n̚,2
6555,ʈ͡ʂʰaˋ.ɖ̥u,2
6556,ʈ͡ʂʰaˋ.rə,2
6557,ʈ͡ʂʰaˋ.ril,2
6558,ʈ͡ʂʰaˋ.ro,2
6559,ʈ͡ʂʰaˋ.g̊ø,2
6560,ʈ͡ʂʰaˋ.ɟ̊əp̚,2
6561,ʈ͡ʂʰaˋ.ɟ̊uk̚,2
6562,ʈ͡ʂʰaˋ.lũŋ,2
6563,ʈ͡ʂʰaˋ.d̥ir,2
6564,ʈ͡ʂʰaˋ.d̥ur,2
6565,ʈ͡ʂʰaˋ.sik̚,2
6566,ʈ͡ʂʰaˋ.sɔp̚,2
6567,ʈ͡ʂʰaˋ.ɟ̊ɛm,2
6568,ʈ͡ʂʰaˋ.g̊əm,2
6569,ʈ͡ʂʰaˋ.ɲik̚,2
6570,ʈ͡ʂʰaˋ.hõŋ,2
6571,ʈ͡ʂʰaˋk̚,1
6572,ʈ͡ʂʰaˋk̚.pø̃n̚,2
6573,ʈ͡ʂʰaˋk̚.pə,2
6574,ʈ͡ʂʰaˋɣ.ɕɔk̚,2
6575,ʈ͡ʂʰəˋp̚.ʈ͡ʂɔp̚,2
6576,ʈ͡ʂʰiˋ.g̊ə,2
6577,ʈ͡ʂʰiˋ.g̊u,2
6578,ʈ͡ʂʰiˋ.d͡z̥uk̚,2
6579,ʈ͡ʂʰiˋ.ɕik̚,2
6580,ʈ͡ʂʰiˋ.g̊əp̚,2
6581,ʈ͡ʂʰiˋ.ø,2
6582,ʈ͡ʂʰiˋ.jø,2
6583,ʈ͡ʂʰiˋ.rɔp̚,2
6584,ʈ͡ʂʰiˋ.d̥e,2
6585,ʈ͡ʂʰuˋ.d̥ik̚,2
6586,ʈ͡ʂʰuˋ.wo,2
6587,ʈ͡ʂʰyˋn̚.g̊ər,2
6588,ʈ͡ʂʰyˋn̚.wãŋ,2
6589,ʈ͡ʂʰyˋ,1
6590,ʈ͡ʂʰyˋ.ɕi,2
6591,ʈ͡ʂʰyˋ.ɲɛ,2
6592,ʈ͡ʂʰyˋ.b̥ø̃n̚,2
6593,ʈ͡ʂʰyˋ.d̥e,2
6594,ʈ͡ʂʰyˋ.d͡z̥ø,2
6595,ʈ͡ʂʰyˋ.ɖ̥i,2
6596,ʈ͡ʂʰyˋ.ɖ̥o,2
6597,ʈ͡ʂʰyˋ.lɛk̚,2
6598,ʈ͡ʂʰeˋ.ɕik̚,2
6599,ʈ͡ʂʰẽˋŋ,1
6600,ʈ͡ʂʰɛˋm.d͡z̥e,2
6601,ʈ͡ʂʰoˋ.g̊ãŋ,2
6602,ʈ͡ʂʰoˋ.ɖ͡ʐ̊o,2
6603,ʈ͡ʂʰoˋ.wo,2
6604,ʈ͡ʂʰoˋ.mo,2
6605,ɲaˋ,1
6606,ɲaˋ.ɟ̊u,2
6607,ɲaˋ.ɟ̊im,2
6608,ɲaˋ.ɖ̥ə,2
6609,ɲaˋ.ɖ̥əp̚,2
6610,ɲaˋ.ɖ̥i,2
6611,ɲaˋ.g̊ə,2
6612,ɲaˋ.g̊ãŋ,2
6613,ɲaˋ.sɛp̚,2
6614,ɲaˋ.ɕɔk̚,2
6615,ɲaˋ.ŋɔk̚,2
6616,ɲaˋ.d̥øl,2
6617,ɲaˋ.b̥ə,2
6618,ɲaˋ.ɖ͡ʐ̊i,2
6619,ɲaˋ.ɖ̥uk̚,2
6620,ɲaˋ.wə,2
6621,ɲaˋ.ɕɔr,2
6622,ɲaˋ.mə,2
6623,ɲaˋ.ɖ͡ʐ̊il,2
6624,ɲaˋ.ɖ͡ʐ̊õŋ,2
6625,ɲaˋ.mik̚,2
6626,ɲaˋ.mo,2
6627,ɲaˋ.d͡z̥ãŋ,2
6628,ɲaˋ.d͡z̥ɛ,2
6629,ɲaˋ.sɛ̃n̚,2
6630,ɲaˋ.ɟ̊uk̚,2
6631,ɲaˋ.ɖ͡ʐ̊ĩŋ,2
6632,ɲaˋ.ɖ͡ʐ̊o,2
6633,ɲaˋ.b̥ik̚,2
6634,ɲaˋ.d͡z̥ĩn̚,2
6635,ɲaˋ.rə,2
6636,ɲaˋ.ry,2
6637,ɲaˋ.ɟ̊ə,2
6638,ɲaˋ.ɟ̊əp̚,2
6639,ɲaˋ.ɟ̊ɛ,2
6640,ɲaˋ.ŋə,2
6641,ɲaˋ.lɛ,2
6642,ɲaˋ.ɖ͡ʐ̊ip̚,2
6643,ɲaˋ.d̥ĩŋ,2
6644,ɲaˋ.lək̚,2
6645,ɲaˋ.ɕə,2
6646,ɲaˋ.ɕi,2
6647,ɲaˋ.sɔk̚,2
6648,ɲaˋ.ɟ̊ɔk̚,2
6649,ɲaˋ.ɟ̊ɔp̚,2
6650,ɲaˋ.g̊õŋ,2
6651,ɲaˋ.d̥õŋ,2
6652,ɲaˋ.d̥ø̃n̚,2
6653,ɲaˋ.nəp̚,2
6654,ɲaˋ.səm,2
6655,ɲaˋ.ʈəm,2
6656,ɲaˋː.g̊ə,2
6657,ɲaˋk̚.ʈ͡ʂik̚,2
6658,ɲaˋ.ʈ͡ʂu,2
6659,ɲaˋ.ʈ͡ʂu.g̊ə,3
6660,ɲaˋɣ.ɲək̚,2
6661,ɲaˋɣ.ɲik̚,2
6662,ɲaˋɣ.ɲɔk̚,2
6663,ɲaˋ.tək̚,2
6664,ɲaˋɣ.nø̃n̚,2
6665,ɲaˋk̚.pə,2
6666,ɲaˋk̚.po,2
6667,ɲaˋ.ʈɛ̃n̚,2
6668,ɲaˋ.til,2
6669,ɲaˋk̚.tə,2
6670,ɲaˋɣ.mo,2
6671,ɲaˋɣ.ɕə,2
6672,ɲaˋg̊.rõŋ,2
6673,ɲaˋː.g̊ɛ,2
6674,ɲaˋ.ɟ̊ãŋ,2
6675,ɲaˋk̚.to,2
6676,ɲaˋɣ.ɕĩŋ,2
6677,ɲaˋɣ.ɕur,2
6678,ɲaˋk̚.sãŋ,2
6679,ɲãˋŋ,1
6680,ɲãˋŋ.ɖ̥i,2
6681,ɲãˋŋ.ɖ͡ʐ̊u,2
6682,ɲãˋŋ.ɲũŋ,2
6683,ɲãˋŋ.b̥o,2
6684,ɲãˋŋ.ɕip̚,2
6685,ɲɛˋ.ɲø,2
6686,ɲɛˋm.b̥ə,2
6687,ɲɛˋm.b̥o,2
6688,ɲɛˋn̚.ɕɛ,2
6689,ɲɛˋn̚.ɖ͡ʐ̊ɔk̚,2
6690,ɲɛˋn̚.jik̚,2
6691,ɲɛˋn̚.rãŋ,2
6692,ɲəˋp̚.ɲəp̚,2
6693,ɲəˋp̚.ɲɔp̚,2
6694,ɲəˋː.b̥ə,2
6695,ɲaˋm.ɖ͡ʐ̊ũŋ,2
6696,ɲaˋm.ɲɛ,2
6697,ɲaˋm.d̥ək̚,2
6698,ɲaˋm.d͡z̥ɛ,2
6699,ɲaˋm.ɖ̥i,2
6700,ɲaˋm.ɕik̚,2
6701,ɲaˋm.so,2
6702,ɲaˋm.g̊y,2
6703,ɲaˋm.ɖ̥ip̚,2
6704,ɲaˋm.lu,2
6705,ɲaˋm.ɖ͡ʐ̊ək̚,2
6706,ɲaˋm.ɖ͡ʐ̊ø,2
6707,ɲaˋm.ɖ̥ø,2
6708,ɲaˋm.b̥ə,2
6709,ɲaˋm.ɟ̊ɛ,2
6710,ɲaˋm.ɖ͡ʐ̊i,2
6711,ɲaˋm.g̊ur,2
6712,ɲaˋm.ɲõŋ,2
6713,ɲaˋm.d͡z̥ø,2
6714,ɲaˋm.ɕɛ̃n̚,2
6715,ɲaˋm.ɕip̚,2
6716,ɲaˋm.ɟ̊ĩŋ,2
6717,ɲaˋm.ɟ̊ur,2
6718,ɲaˋm.ur,2
6719,ɲaˋm.ɟ̊y,2
6720,ɲaˋm.d̥ɔk̚,2
6721,ɲaˋm.d͡z̥ɛl,2
6722,ɲaˋm.lɛ̃n̚,2
6723,ɲaˋm.d̥ɛ̃n̚,2
6724,ɲaˋm.sɛ,2
6725,ɲaˋm.ɖ̥ɔp̚,2
6726,ɲaˋm.d̥əp̚,2
6727,ɲaˋm.d̥ɔp̚,2
6728,ɲaˋm.nãŋ,2
6729,ɲaˋr.ɲɛr,2
6730,ɲaˋr.ɲɔr,2
6731,ɲaˋr.wə,2
6732,ɲaˋr.mə,2
6733,ɲaˋr.d͡z̥ək̚,2
6734,ɲaˋr.d͡z̥ĩn̚,2
6735,ɲɛˋl.g̊ãŋ,2
6736,ɲɛˋl.ɖ̥i,2
6737,ɲɛˋl.ɕuk̚,2
6738,ɲɛˋl.sɛ̃n̚,2
6739,ɲɛˋl.g̊ur,2
6740,ɲɛˋl.g̊ø,2
6741,ɲɛˋl.ɖ͡ʐ̊ɛ,2
6742,ɲɛˋl.ɲil,2
6743,ɲɛˋl.d̥ə,2
6744,ɲɛˋl.d̥y,2
6745,ɲɛˋl.b̥o,2
6746,ɲɛˋl.wə,2
6747,ɲɛˋl.mɛl,2
6748,ɲɛˋl.ɖ̥o,2
6749,ɲɛˋl.sə,2
6750,ɲɛˋl.d̥ɛ̃n̚,2
6751,ɲiˋ.ɟ̊im,2
6752,ɲiˋ.ɖ̥i,2
6753,ɲiˋ.d̥ɛ̃n̚,2
6754,ɲiˋ.d̥uk̚,2
6755,ɲiˋ.ɕø̃n̚,2
6756,ɲiˋ.sɛr,2
6757,ɲiˋ.sər,2
6758,ɲiˋ.g̊ur,2
6759,ɲiˋ.ɖ̥ip̚,2
6760,ɲiˋ.ɖ͡ʐ̊ə,2
6761,ɲiˋ.ɖ͡ʐ̊ɛ,2
6762,ɲiˋ.ɟ̊il,2
6763,ɲiˋ.d̥ək̚,2
6764,ɲiˋ.g̊ə,2
6765,ɲiˋ.ɖ̥ø,2
6766,ɲiˋ.nup̚,2
6767,ɲiˋ.wər,2
6768,ɲiˋ.sø,2
6769,ɲiˋ.b̥yl,2
6770,ɲiˋ.d̥ãŋ,2
6771,ɲiˋ.ɲur,2
6772,ɲiˋ.d͡z̥e.wə,3
6773,ɲiˋ.d͡z̥ø,2
6774,ɲiˋ.d̥ə,2
6775,ɲiˋ.g̊ɔr,2
6776,ɲiˋ.ɖ͡ʐ̊ər,2
6777,ɲiˋ.d̥e,2
6778,ɲiˋ.d͡z̥ĩn̚,2
6779,ɲiˋ.ɔk̚,2
6780,ɲiˋ.ø,2
6781,ɲiˋ.jøl,2
6782,ɲiˋ.g̊ãŋ,2
6783,ɲiˋ.g̊ɛ,2
6784,ɲiˋ.d̥yl,2
6785,ɲiˋ.lɔk̚,2
6786,ɲiˋ.d̥ɔk̚,2
6787,ɲiˋ.ɕər,2
6788,ɲiˋ.g̊ər,2
6789,ɲiˋ.ɟ̊ɛ,2
6790,ɲiˋ.d̥ø̃n̚,2
6791,ɲiˋ.sɛk̚,2
6792,ɲiˋk̚,1
6793,ɲĩˋŋ,1
6794,ɲĩˋŋ.g̊u,2
6795,ɲĩˋŋ.ɖ̥i,2
6796,ɲĩˋŋ.jɔk̚,2
6797,ɲĩˋŋ.ɖ̥yl,2
6798,ɲĩˋŋ.d̥ɔr,2
6799,ɲĩˋŋ.g̊ø,2
6800,ɲĩˋŋ.ɖ̥ɛ̃n̚,2
6801,ɲĩˋŋ.d͡z̥ə,2
6802,ɲĩˋŋ.ɕə,2
6803,ɲĩˋŋ.lɔp̚,2
6804,ɲiˋ.ɖ͡ʐ̊ək̚,2
6805,ɲiˋ.rãŋ,2
6806,ɲiˋn̚.g̊ãŋ,2
6807,ɲiˋn̚.g̊ũŋ,2
6808,ɲiˋn̚.lə,2
6809,ɲiˋn̚.ɖ͡ʐ̊ɛ,2
6810,ɲiˋn̚.d̥o,2
6811,ɲiˋŋ.g̊ər,2
6812,ɲiˋŋ.g̊ũŋ,2
6813,ɲiˋm.b̥ə,2
6814,ɲiˋn̚.ɖ͡ʐ̊ɔk̚,2
6815,ɲiˋn̚.d͡z̥ɛ̃n̚,2
6816,ɲiˋn̚.d͡z̥ɛ,2
6817,ɲiˋn̚.d͡z̥uk̚,2
6818,ɲiˋn̚.ɕək̚,2
6819,ɲiˋn.d̥ə,2
6820,ɲiˋn̚.g̊ɔr,2
6821,ɲiˋn̚.ɟ̊õŋ,2
6822,ɲiˋn̚.b̥yl,2
6823,ɲiˋn̚.ri,2
6824,ɲiˋŋ.g̊ỹn̚,2
6825,ɲiˋn̚.ləm,2
6826,ɲiˋn̚.lɛ,2
6827,ɲiˋn̚.lũŋ,2
6828,ɲiˋn̚.lo,2
6829,ɲiˋn.d̥ər,2
6830,ɲiˋn̚.ɕə,2
6831,ɲiˋn̚.so.wə,3
6832,ɲiˋn.ɖ̥ɛl,2
6833,ɲiˋn̚.sip̚,2
6834,ɲiˋl.ɲil,2
6835,ɲiˋl.wə,2
6836,ɲiˋ.d͡z̥ɛk̚,2
6837,ɲiˋ.d̥ø,2
6838,ɲiˋ.ɟ̊ur,2
6839,ɲiˋ.ri,2
6840,ɲiˋ.rim,2
6841,ɲiˋ.d̥əp̚,2
6842,ɲiˋ.ɕɛ,2
6843,ɲiˋ.g̊ɛl,2
6844,ɲiˋ.g̊yl,2
6845,ɲiˋ.ɖ̥ə,2
6846,ɲiˋ.ɖ̥im,2
6847,ɲiˋ.ɖ̥ək̚,2
6848,ɲiˋ.ɖ̥ɛl,2
6849,ɲuˋk̚,1
6850,ɲuˋk̚.pə,2
6851,ɲuˋ.ʈ͡ʂɛ,2
6852,ɲũˋŋ.ɲũŋ,2
6853,ɲũˋŋ.wə,2
6854,ɲũˋŋ.mə,2
6855,ɲũˋŋ.d̥ə,2
6856,ɲũˋŋ.d͡z̥əm,2
6857,ɲũˋŋ.sɛ,2
6858,ɲũˋŋ.ɕɛ,2
6859,ɲũˋŋ.ɟ̊ø̃n̚,2
6860,ɲũˋŋ.ɕɛr,2
6861,ɲũˋŋ.b̥ə,2
6862,ɲũˋŋ.mər,2
6863,ɲyˋl.b̥o,2
6864,ɲyˋl.wə,2
6865,ɲyˋl.ɖ͡ʐ̊ɛ,2
6866,ɲyˋl.mə,2
6867,ɲeˋ.ɲɛ̃n̚,2
6868,ɲeˋ.jɔk̚,2
6869,ɲeˋ.ɖ̥ɔk̚,2
6870,ɲeˋ.ɖ͡ʐ̊ər,2
6871,ɲeˋ.ɲø̃n̚,2
6872,ɲeˋ.d̥ək̚,2
6873,ɲeˋ.g̊ə,2
6874,ɲeˋ.wãŋ,2
6875,ɲeˋ.d̥y,2
6876,ɲeˋ.ɖ̥ũŋ,2
6877,ɲeˋ.b̥o,2
6878,ɲeˋ.wə,2
6879,ɲeˋ.g̊ø̃n̚,2
6880,ɲeˋ.d̥õŋ,2
6881,ɲeˋ.d͡z̥ɛ̃n̚,2
6882,ɲeˋ.d͡z̥ik̚,2
6883,ɲeˋ.ɕo,2
6884,ɲeˋ.sũŋ,2
6885,ɲeˋ.g̊ɔr,2
6886,ɲeˋ.ɖ̥əm,2
6887,ɲeˋ.d̥əp̚,2
6888,ɲeˋ.ɖ͡ʐ̊ɛ,2
6889,ɲeˋ.ɖ̥ɛl,2
6890,ɲeˋ.rik̚,2
6891,ɲeˋ.rĩŋ,2
6892,ɲeˋ.rɛk̚,2
6893,ɲeˋ.ləm,2
6894,ɲeˋ.lɔk̚,2
6895,ɲeˋ.ɕĩŋ,2
6896,ɲeˋ.sə,2
6897,ɲeˋ.ɖ̥ik̚,2
6898,ɲeˋ.ŋø̃n̚,2
6899,ɲeˋ.ɲĩŋ,2
6900,ɲeˋ.d̥e,2
6901,ɲeˋ.b̥ỹn̚,2
6902,ɲeˋ.b̥ɛ,2
6903,ɲeˋ.sɛ,2
6904,ɲɛˋk̚,1
6905,ɲẽˋŋ,1
6906,ɲɛˋ.ɲɛ,2
6907,ɲɛˋ.b̥ə,2
6908,ɲɛˋŋ.g̊ə,2
6909,ɲɛˋŋ.g̊ɔr,2
6910,ɲɛˋn̚.g̊ə,2
6911,ɲɛˋŋ.g̊ək̚,2
6912,ɲɛˋŋ.g̊ɔk̚,2
6913,ɲeˋ.u,2
6914,ɲeˋ.u.ɟ̊i,3
6915,ɲeˋ.u.ɖ͡ʐ̊ũŋ,3
6916,ɲɛˋr.nɛ,2
6917,ɲɛˋr.ɲɛr,2
6918,ɲɛˋr.d̥ɔp̚,2
6919,ɲɛˋr.d̥ɔk̚,2
6920,ɲɛˋr.ɕi,2
6921,ɲɛˋr.ɖ̥ɛ,2
6922,ɲɛˋr.d͡z̥e,2
6923,ɲɛˋr.d͡z̥ĩn̚,2
6924,ɲɛˋr.lɛ̃n̚,2
6925,ɲɛˋr.ɟ̊ur,2
6926,ɲɛˋr.ɖ͡ʐ̊ɛ,2
6927,ɲɛˋr.ɖ͡ʐ̊ø,2
6928,ɲɛˋr.b̥ɛ,2
6929,ɲɛˋ.g̊ək̚,2
6930,ɲɛˋ.ɖ̥im,2
6931,ɲɛˋ.ɖ͡ʐ̊ɛ̃n̚,2
6932,ɲɛˋ.ɖ͡ʐ̊ə,2
6933,ɲɛˋ.ɖ͡ʐ̊ɛ,2
6934,ɲɛˋ.ŋyl,2
6935,ɲɛˋ.mik̚,2
6936,ɲɛˋ.d̥y,2
6937,ɲɛˋ.ɕɛ,2
6938,ɲɛˋ.mɛ,2
6939,ɲɛˋ.g̊ɛl,2
6940,ɲɛˋ.d̥ũŋ,2
6941,ɲɛˋ.lɛ,2
6942,ɲɛˋ.ɟ̊ø̃n̚,2
6943,ɲɛˋ.ɖ͡ʐ̊ø,2
6944,ɲoˋ.ɖ͡ʐ̊ə,2
6945,ɲoˋ.ɖ͡ʐ̊ɛ,2
6946,ɲoˋ.d̥o,2
6947,ɲoˋ.wə,2
6948,ɲoˋ.d͡z̥õŋ,2
6949,ɲoˋ.rɔk̚,2
6950,ɲoˋ.ɖ̥up̚,2
6951,ɲɔˋk̚,1
6952,ɲɔˋk̚.pə,2
6953,ɲɔˋk̚.po,2
6954,ɲɔˋ.ʈ͡ʂĩŋ,2
6955,ɲɔˋk̚.t͡sɔp̚,2
6956,ɲøˋ.b̥ə,2
6957,ɲøˋ.rø,2
6958,ɲøˋn̚.ji,2
6959,ɲøˋn.ɖ̥ip̚,2
6960,ɲɔˋp̚.ɲɔp̚,2
6961,ɲɔˋp.to,2
6962,ɲɔˋː.b̥ə,2
6963,ɲɔˋp̚.tip̚,2
6964,ɲɔˋr,1
6965,ɲɔˋr.wə,2
6966,ɲɔˋr.ɖ̥ø,2
6967,ɲøˋl,1
6968,ɲøˋ,1
6969,taˊ.ɛ̃n̚,2
6970,taˊ.d͡z̥ə,2
6971,taˊ.lə,2
6972,taˊ.le,2
6973,taˊ.g̊ur,2
6974,taˊ.d̥e,2
6975,taˊ.hũŋ,2
6976,taˊk̚.tək̚,2
6977,taˊk̚.tik̚,2
6978,tãˊŋ.g̊u,2
6979,tãˊŋ.g̊ỹn̚,2
6980,tãˊŋ.d̥õŋ,2
6981,taˊr.g̊ãŋ,2
6982,tɛˊl,1
6983,tɛˊl.d̥ũŋ,2
6984,tɛˊl.wə,2
6985,tɛˊl.mə,2
6986,tɛˊl.d͡z̥əm,2
6987,tɛˊl.ɟ̊uk̚,2
6988,tɛˊl.ɖ͡ʐ̊ĩn̚,2
6989,tiˊ.g̊ə,2
6990,tiˊ.d̥o,2
6991,tiˊ.ɖ̥ik̚,2
6992,tiˊ.b̥u,2
6993,tiˊ.mi,2
6994,tiˊ.d͡z̥ə,2
6995,tiˊ.lə,2
6996,tiˊ.lo,2
6997,tiˊ.sə,2
6998,tiˊ.se,2
6999,tiˊk̚.tə,2
7000,tiˊk̚.tik̚,2
7001,tiˊk̚.po,2
7002,tiˊk̚.t͡səm,2
7003,tiˊ.ruk̚,2
7004,tĩˊŋ.ɖ̥øl,2
7005,tĩˊŋ.d̥ĩŋ,2
7006,tĩˊŋ.b̥ɔr,2
7007,tĩˊŋ.ɕək̚,2
7008,tiˊm.b̥i,2
7009,tiˊl.g̊ər,2
7010,tiˊl.nək̚,2
7011,tiˊl.ɖ͡ʐ̊ɛ,2
7012,tiˊl.mər,2
7013,tiˊl.ɖ̥u,2
7014,tiˊl.ɖ͡ʐ̊ãŋ,2
7015,tiˊl.d̥ũŋ,2
7016,tiˊl.ɟ̊ɛ,2
7017,tiˊl.num,2
7018,tuˊ.d͡z̥ə,2
7019,tuˊ.re,2
7020,tuˊg̊.ri,2
7021,tũˊŋ.d͡z̥ək̚,2
7022,tuˊr.d̥ur,2
7023,tuˊː.re,2
7024,tyˊl.b̥ə,2
7025,teˊ.b̥ɔr,2
7026,teˊ.lo,2
7027,teˊ.se,2
7028,tɛˊː.b̥e,2
7029,tɛˊp.t͡sək̚,2
7030,tɛˊp.t͡se,2
7031,teˊ.u.lo,3
7032,teˊ.u.ɕĩŋ,3
7033,tɛˊl.b̥ə,2
7034,tɔˊk̚.t͡səm,2
7035,tɔˊk̚.t͡se,2
7036,tɔˊɣ.ɕə,2
7037,tɔˊk̚.t͡si,2
7038,tõˊŋ.g̊ỹn̚,2
7039,tõˊŋ.d̥õŋ,2
7040,tɔˊp.tɔp̚,2
7041,tɔˊr.b̥ãŋ,2
7042,tøˊl,1
7043,tøˊl.ɕɛ,2
7044,tøˊn̚.mỹn̚,2
7045,ʈiˊ.ɕu.lə,3
7046,ʈeˊ.wo,2
7047,ʈeˊ.mə,2
7048,ʈeˊ.ləm,2
7049,ʈeˊ.hɔr,2
7050,ʈɛˊm,1
7051,ʈɛˊm.g̊ər,2
7052,ʈɛˊm.nək̚,2
7053,ʈɛˊ.səm,2
7054,ʈø̃ˊn̚,1
7055,tʰaˊ.g̊uk̚,2
7056,tʰaˊ.g̊ə.b̥ə,3
7057,tʰaˊ.ɖ͡ʐ̊ũŋ,2
7058,tʰaˊ.g̊i,2
7059,tʰaˊ.g̊u,2
7060,tʰaˊ.g̊e,2
7061,tʰaˊ.ɖ̥u,2
7062,tʰaˊ.ɖ͡ʐ̊ə,2
7063,tʰaˊ.ɖ͡ʐ̊ɛ,2
7064,tʰaˊ.nə,2
7065,tʰaˊ.wə,2
7066,tʰaˊ.mə.g̊ə,3
7067,tʰaˊ.mək̚,2
7068,tʰaˊ.ɕɛ̃n̚,2
7069,tʰaˊ.ɕĩŋ,2
7070,tʰaˊ.rə.rə,3
7071,tʰaˊ.rəm,2
7072,tʰaˊ.g̊ø,2
7073,tʰaˊ.sø̃n̚,2
7074,tʰaˊ.g̊ər,2
7075,tʰaˊ.ɲɛ,2
7076,tʰaˊ.b̥ək̚,2
7077,tʰaˊ.ɖ̥ĩn̚,2
7078,tʰaˊk̚.tãŋ,2
7079,tʰaˊː.g̊u,2
7080,tʰaˊ.ʈu,2
7081,tʰaˊ.tək̚,2
7082,tʰaˊ.tik̚,2
7083,tʰaˊ.tuk̚,2
7084,tʰaˊk̚.ʈ͡ʂõŋ,2
7085,tʰaˊk̚.pə,2
7086,tʰaˊk̚.tɔk̚,2
7087,tʰaˊ.ʈ͡ʂõŋ,2
7088,tʰaˊk̚.tũŋ,2
7089,tʰaˊ.ɟ̊ə,2
7090,tʰaˊ.ɟ̊ãŋ,2
7091,tʰaˊɣ.lũŋ,2
7092,tʰaˊk̚.ʈ͡ʂip̚,2
7093,tʰaˊː.g̊ɛ,2
7094,tʰaˊɣ.ne,2
7095,tʰaˊ.ʈi,2
7096,tʰaˊ.tɔk̚,2
7097,tʰaˊɣ.mə,2
7098,tʰaˊː.g̊ɛ̃n̚,2
7099,tʰaˊg̊.rə,2
7100,tʰaˊg̊.rɛ̃n̚,2
7101,tʰaˊː.g̊ãŋ,2
7102,tʰaˊ.ɟ̊y,2
7103,tʰaˊk̚.tɛk̚,2
7104,tʰãˊŋ,1
7105,tʰãˊŋ.g̊uk̚,2
7106,tʰãˊŋ.ɖ̥ək̚,2
7107,tʰãˊŋ.ɖ̥əm,2
7108,tʰãˊŋ.g̊ə,2
7109,tʰãˊŋ.ɖ͡ʐ̊ik̚,2
7110,tʰãˊŋ.ɖ͡ʐ̊ø,2
7111,tʰãˊŋ.ɕɛl,2
7112,tʰãˊŋ.ɕi,2
7113,tʰãˊŋ.jɛr,2
7114,tʰãˊŋ.ɕõŋ,2
7115,tʰãˊŋ.ɖ͡ʐ̊u,2
7116,tʰãˊŋ.ɖ͡ʐ̊ɛ̃n̚,2
7117,tʰãˊŋ.d̥ãŋ,2
7118,tʰãˊŋ.d̥ũŋ,2
7119,tʰãˊŋ.g̊ər,2
7120,tʰãˊŋ.je,2
