,ipa,nosyl
199,gõˋŋ,1
200,gøˋ,1
201,gø̃ˋn̚,1
202,ɖaˋ,1
203,ɖaˋ.ɖ͡ʐ̊ɔm,2
204,ɖaˋ.d̥ə,2
205,ɖøˋl,1
206,gɛˋk̚,1
207,ɟiˋ,1
208,ɖãˋŋ,1
209,ɖøˋ,1
210,gɛˋl.me,2
211,gyˋl,1
212,goˋ,1
213,goˋ.wo,2
214,ɟɔˋk̚,1
215,ɖĩˋn̚,1
216,ɖø̃ˋn̚,1
217,gaˋk̚,1
218,gaˋ.ɕik̚,2
219,gɛˋl,1
220,gɔˋk̚,1
221,ɟuˋr,1
222,ɟɛˋ,1
223,ɖaˋm,1
224,ɖaˋm.b̥ə,2
225,ɖiˋp̚,1
226,ɖuˋp̚,1
227,ɖɛˋl,1
228,ɖoˋ,1
229,gɛ̃ˋn̚,1
230,gɛˋn̚.rəp̚,2
231,gyˋ,1
232,gyˋn̚.ɖ͡ʐ̊ãŋ,2
233,gyˋn.ɖ̥um,2
234,ɟaˋ,1
235,ɟaˋ.ɟ̊ɛk̚,2
236,ɟaˋ.g̊ər,2
237,ɟaˋm.d͡z̥o,2
238,ɟãˋŋ,1
239,ɟɛ̃ˋn̚,1
240,ɟəˋp̚,1
241,ɟəˋp̚.jøl,2
242,ɟɛˋl,1
243,ɟɛˋl.ɖ͡ʐ̊ɛ̃n̚,2
244,ɟɛˋl.b̥o,2
245,ɟɛˋl.rik̚,2
246,ɟɛˋl.si,2
247,ɟuˋ,1
248,ɟuˋ.g̊ər,2
249,ɟuˋ.ɖ͡ʐ̊ɛ̃n̚,2
250,ɟuˋ.b̥ỹn̚,2
251,ɟuˋm.d͡z̥ɛ̃n̚,2
252,ɟyˋ,1
253,ɟỹˋn̚,1
254,gaˋ.ɖ͡ʐ̊u,2
255,gãˋŋ.b̥u,2
256,goˋ.ɟ̊y,2
257,gɔˋm,1
258,ɟuˋ.mə,2
259,ɟuˋ.d͡z̥ɛl,2
260,ɖaˋ.ɖ͡ʐ̊ɛ̃n̚,2
261,ɖɔˋk̚,1
262,ɟɛˋ.ɖ͡ʐ̊u,2
263,ɟɛˋ.b̥o,2
264,ŋaˋ,1
265,ŋaˋ.ɟ̊ɛl,2
266,ŋaˋk̚,1
267,ŋãˋŋ,1
268,ŋɛ̃ˋn̚,1
269,ŋɛˋn.ɖ̥o,2
270,ŋɛˋn̚.ŋø̃n̚,2
271,ŋɛˋn̚.sõŋ,2
272,ŋaˋr.nəp̚,2
273,ŋɛˋl,1
274,ŋɛˋ,1
275,ŋuˋr.mik̚,2
276,ŋɛˋ.b̥ər,2
277,ŋoˋ,1
278,ŋoˋ.wo,2
279,ŋoˋ.d͡z̥ə,2
280,ŋoˋ.d͡z̥ər,2
281,ŋyˊl,1
282,ŋøˊ,1
283,ŋøˊ.b̥o,2
284,ŋøˊ.ɕi,2
285,ŋaˊ,1
286,ŋaˊr,1
287,ŋø̃ˊn̚,1
288,ŋøˊn̚.d̥u,2
289,ŋøˊm.b̥ər,2
290,ŋøˊn̚.sum,2
291,ŋuˊp̚,1
292,ŋaˊ.d̥ɛ,2
293,ŋaˊ.mə,2
294,ŋaˊ.røl,2
295,ŋaˊk̚,1
296,ŋoˊ,1
297,ŋøˊn̚.ɖ͡ʐ̊ɛ,2
298,ŋɛˊl,1
299,ʈ͡ʂaˊ.ɖ͡ʐ̊o,2
300,ʈ͡ʂaˊk̚,1
301,ʈ͡ʂãˊŋ,1
302,ʈ͡ʂãˊŋ.d̥e.u,3
303,ʈ͡ʂãˊŋ.ɕɛ,2
304,ʈ͡ʂɛ̃ˊn̚,1
305,ʈ͡ʂiˊ.d̥e,2
306,ʈ͡ʂiˊ.mə.rũŋ,3
307,ʈ͡ʂiˊ.ɕik̚,2
308,ʈ͡ʂiˊ.jãŋ,2
309,ʈ͡ʂiˊ.rik̚,2
310,ʈ͡ʂiˊk̚.ʈ͡ʂər,2
311,ʈ͡ʂiˊk.ɕø,2
312,ʈ͡ʂiˊ.ɖ͡ʐ̊ir,2
313,ʈ͡ʂiˊ.lɛ.d̥u,3
314,ʈ͡ʂũˊŋ,1
315,ʈ͡ʂũˊŋ.sɛ,2
316,ʈ͡ʂeˊ.ɖ͡ʐ̊ãŋ,2
317,ʈ͡ʂɔˊk̚.pu,2
318,ʈ͡ʂøˊ.b̥ɛ̃n̚,2
319,ʈ͡ʂɛˊn̚.sɛ̃n̚,2
320,ʈ͡ʂaˊm,1
321,ʈ͡ʂiˊk̚,1
322,ʈ͡ʂiˊk̚.pu,2
323,ʈ͡ʂĩˊn̚,1
324,ʈ͡ʂɛˊr.b̥u,2
325,ʈ͡ʂɛˊ,1
326,ʈ͡ʂaˊ,1
327,ʈ͡ʂaˊ.g̊ə,2
328,ʈ͡ʂĩˊŋ,1
329,ʈ͡ʂuˊ,1
330,ʈ͡ʂuˊ.g̊u,2
331,ʈ͡ʂuˊk̚.ʈ͡ʂik̚,2
332,ʈ͡ʂuˊɣ.ɲi,2
333,ʈ͡ʂuˊ.ɖ̥uk̚,2
334,ʈ͡ʂuˊp.tỹn̚,2
335,ʈ͡ʂuˊp.ɕi,2
336,ʈ͡ʂuˊk̚.sum,2
337,ʈ͡ʂuˊk̚,1
338,ʈ͡ʂyˊ,1
339,ʈ͡ʂyˊ.lɛ̃n̚,2
340,ʈ͡ʂuˊr,1
341,ʈ͡ʂɔˊp̚.cɛ,2
342,ʈ͡ʂoˊ.ŋə,2
343,ʈ͡ʂɔˊm,1
344,ʈ͡ʂɔˊm.d̥ɛn.d̥ɛ,3
345,ʈ͡ʂaˊ.ɟ̊u,2
346,ʈ͡ʂaˊk̚.ʈãŋ,2
347,ʈ͡ʂiˊ,1
348,ʈ͡ʂeˊ,1
349,ʈ͡ʂʰaˊ,1
350,ʈ͡ʂʰaˊ.ɖ͡ʐ̊ɛ,2
351,ʈ͡ʂʰaˊk̚,1
352,ʈ͡ʂʰãˊŋ,1
353,ʈ͡ʂʰɛˊ,1
354,ʈ͡ʂʰəˊp̚,1
355,ʈ͡ʂʰiˊ.ɟ̊ə,2
356,ʈ͡ʂʰiˊk̚.tõŋ,2
357,ʈ͡ʂʰuˊ,1
358,ʈ͡ʂʰuˊ.b̥ur,2
359,ʈ͡ʂʰuˊ.wo,2
360,ʈ͡ʂʰuˊ.ɖ̥ãŋ,2
361,ʈ͡ʂʰuˊ.ɕɛl,2
362,ʈ͡ʂʰuˊ.sĩn̚,2
363,ʈ͡ʂʰũˊŋ,1
364,ʈ͡ʂʰũˊː.ŋu,2
365,ʈ͡ʂʰyˊ,1
366,ʈ͡ʂʰuˊp̚,1
367,ʈ͡ʂʰeˊ,1
368,ʈ͡ʂʰeˊ.g̊e.mo,3
369,ʈ͡ʂʰɛ̃ˊn̚,1
370,ʈ͡ʂʰɛˊm.b̥o,2
371,ʈ͡ʂʰɛˊm.ɖ͡ʐ̊ɛm,2
372,ʈ͡ʂʰoˊ.g̊ə,2
373,ʈ͡ʂʰoˊ.ɖ̥yl,2
374,ʈ͡ʂʰoˊ.ɖ̥ãŋ,2
375,ʈ͡ʂʰoˊ.lo,2
376,ʈ͡ʂʰɔˊk̚,1
377,ʈ͡ʂʰɔˊm.g̊ỹn̚,2
378,ʈ͡ʂʰøˊ,1
379,ʈ͡ʂʰøˊ.g̊ø,2
380,ʈ͡ʂʰøˊ.ɖ͡ʐ̊ɛ̃n̚,2
381,ʈ͡ʂʰøˊ.ɲi,2
382,ʈ͡ʂʰɛˊn̚.g̊ũŋ,2
383,ʈ͡ʂʰiˊ,1
384,ʈ͡ʂʰuˊ.rĩŋ,2
385,ʈ͡ʂʰɔˊɣ.ɲi,2
